Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,time_max,time_min,time_mean,time_quant_10,time_quant_50,time_quant_90
51,No,Travel_Rarely,Sales,6,2,Life Sciences,1,Female,1,Healthcare Representative,Married,131160,1.0,11,0,1.0,6,1,0,0,3.0,4.0,2.0,3,3,7.948333333333333,6.504722222222222,7.373650622605365,7.007305555555556,7.397222222222222,7.732083333333334
31,Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,2,Female,1,Research Scientist,Single,41890,0.0,23,1,6.0,3,5,1,4,3.0,2.0,4.0,2,4,8.55888888888889,6.7252777777777775,7.718968926553672,7.330277777777778,7.71875,8.108194444444445
32,No,Travel_Frequently,Research & Development,17,4,Other,3,Male,4,Sales Executive,Married,193280,1.0,15,3,5.0,2,5,0,3,2.0,2.0,1.0,3,3,7.993611111111111,6.198333333333333,7.013240358126722,6.666194444444445,6.982638888888889,7.438833333333333
38,No,Non-Travel,Research & Development,2,5,Life Sciences,4,Male,3,Human Resources,Married,83210,3.0,11,3,13.0,5,8,7,5,4.0,4.0,3.0,2,3,7.890833333333333,6.280555555555556,7.193678486997635,6.848333333333334,7.179722222222222,7.550777777777777
32,No,Travel_Rarely,Research & Development,10,1,Medical,5,Male,1,Sales Executive,Single,23420,4.0,12,2,9.0,2,6,0,4,4.0,1.0,3.0,3,3,8.828333333333333,7.310277777777777,8.006174603174603,7.649,7.963611111111111,8.403500000000001
46,No,Travel_Rarely,Research & Development,8,3,Life Sciences,6,Female,4,Research Director,Married,40710,3.0,13,0,28.0,5,7,7,7,3.0,2.0,2.0,3,3,11.74388888888889,9.815277777777778,10.796095874355368,10.422,10.809444444444445,11.151722222222222
28,Yes,Travel_Rarely,Research & Development,11,2,Medical,7,Male,2,Sales Executive,Single,58130,2.0,20,1,5.0,2,0,0,0,1.0,3.0,1.0,3,4,8.092222222222222,5.902222222222222,6.923570402298851,6.520611111111111,6.9087499999999995,7.34563888888889
29,No,Travel_Rarely,Research & Development,18,3,Life Sciences,8,Male,2,Sales Executive,Married,31430,2.0,22,3,10.0,2,0,0,0,1.0,2.0,3.0,3,4,7.370833333333334,5.981388888888889,6.725620713305898,6.352666666666667,6.746111111111111,7.072444444444444
31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,9,Male,3,Laboratory Technician,Married,20440,0.0,21,0,10.0,2,9,7,8,2.0,4.0,3.0,3,4,8.029166666666667,6.291388888888889,7.236498792270532,6.8335,7.258333333333333,7.634916666666666
25,No,Non-Travel,Research & Development,7,4,Medical,10,Female,4,Laboratory Technician,Divorced,134640,1.0,13,1,6.0,2,6,1,5,2.0,1.0,3.0,3,3,7.9158333333333335,6.330277777777778,7.080087844254511,6.731916666666667,7.063611111111111,7.455333333333334
